Bird_ID	Trip_ID	min_Date	max_Date	min_Latitude	max_Latitude	min_Longitude	max_Longitude	track_dur	total_distance	max_Dcol	mean_Temperature	sd_Temperature	mean_Speed	sd_Speed
16_L93190	2	2023-08-19 22:02:55	2023-08-20 21:42:44	39.34659	39.479715	-9.8079633	-9.494305	23.6636111111111	983.49	26.08	19.4592592592593	1.01307101431451	10.5358222222222	17.0242527465995
16_L93190	3	2023-08-20 22:25:40	2023-08-21 20:52:04	39.1350633	39.414125	-10.13561	-9.477545	22.44	3653.19	56.58	19.4453125	1.13504374850647	14.04915625	17.8267842236036
16_L93190	4	2023-08-22 04:17:59	2023-08-22 23:12:55	39.2829517	39.55938	-9.7929817	-9.41462	18.9155555555556	1362.52	28.28	21	1.49914064730844	12.4159591836735	16.8761045536443
16_L93190	5	2023-08-23 04:29:44	2023-08-23 20:34:04	39.029445	39.4158667	-9.791905	-9.5032717	16.0722222222222	2920.58	47.25	20.3125	0.669838943721784	11.4206666666667	16.9156210898725
16_L93190	6	2023-08-24 04:50:43	2023-08-26 22:14:52	39.1137933	40.8805267	-10.3076	-8.7303633	65.4025	33284.97	175.35	19.8072916666667	1.31643515718152	15.5201458333333	19.3580110186994
16_L93190	7	2023-08-27 03:59:23	2023-08-29 03:38:00	38.6988783	39.4156283	-10.5030033	-9.4476317	47.6436111111111	14093.93	87.02	18.5	1.1520732299957	18.5669710144928	19.5706935821506
16_L93190	8	2023-08-29 03:48:21	2023-08-31 20:41:58	38.90304	39.4289883	-10.1812133	-9.47932	64.8936111111111	16990.81	80.41	18.5718015665796	1.3082255446613	15.0916240208877	17.682833250769
16_L93190	9	2023-09-01 03:07:03	2023-09-01 20:34:11	39.1979317	39.4220433	-9.94128	-9.501945	17.4522222222222	3089.54	44.49	19.3653846153846	1.74076030876642	9.56273076923077	15.9734862188898
16_L93190	10	2023-09-02 00:06:11	2023-09-02 20:06:49	38.752785	39.4204583	-10.086975	-9.502125	20.0105555555556	5228.99	81.26	18.4033613445378	1.02774500341885	23.4846050420168	19.0841659357
16_L93190	11	2023-09-02 21:59:56	2023-09-03 20:21:41	39.3584183	39.802375	-9.7287883	-9.0459283	22.3625	4024.16	57.15	17.7424242424242	0.85266723077102	15.8682727272727	18.7269368317572
17A_L062826	1	2023-08-18 00:53:31	2023-08-18 22:56:08	39.2234833	39.43255	-9.8285033	-9.4999817	22.0436111111111	1904.27	28.84	23.2480620155039	1.01574332196871	6.38868217054264	12.0512621862197
17A_L062826	2	2023-08-19 04:52:56	2023-08-19 18:35:59	39.1129483	39.4142267	-9.6454883	-9.4978583	13.7175	2119.48	33.4	23.8518518518519	0.776387646590141	14.4273086419753	17.902518837193
