CONT_ID	DATEGMT	Month	Year	MAIN_tracking_Year	LON	LAT	COLONY	stage	UNIQUE_ID	timestamps
5867	23/07/2012 13:29	7	2012	2012	-20.62	13.88	SEL	NON-BREEDING	12	2012-07-23 13:29:00
5868	24/07/2012 01:10	7	2012	2012	-17.265	21.4875	SEL	NON-BREEDING	12	2012-07-24 01:10:00
5869	24/07/2012 13:11	7	2012	2012	-16.11	25.92	SEL	NON-BREEDING	12	2012-07-24 13:11:00
5870	25/07/2012 01:16	7	2012	2012	-17.36	24.5	SEL	NON-BREEDING	12	2012-07-25 01:16:00
5871	25/07/2012 13:11	7	2012	2012	-16.24	22.74	SEL	NON-BREEDING	12	2012-07-25 13:11:00
5872	26/07/2012 01:04	7	2012	2012	-14.36	23.68	SEL	NON-BREEDING	12	2012-07-26 01:04:00
5873	26/07/2012 13:06	7	2012	2012	-14.74	25.68	SEL	NON-BREEDING	12	2012-07-26 13:06:00
5874	27/07/2012 01:09	7	2012	2012	-15.61	25.02	SEL	NON-BREEDING	12	2012-07-27 01:09:00
5875	27/07/2012 13:03	7	2012	2012	-13.99	23.25	SEL	NON-BREEDING	12	2012-07-27 13:03:00
5876	28/07/2012 00:57	7	2012	2012	-16.6775	23.645	SEL	NON-BREEDING	12	2012-07-28 00:57:00
5877	28/07/2012 12:57	7	2012	2012	-16.6775	24.895	SEL	NON-BREEDING	12	2012-07-28 12:57:00
5878	29/07/2012 00:56	7	2012	2012	-18.465	24.465	SEL	NON-BREEDING	12	2012-07-29 00:56:00
5879	29/07/2012 12:51	7	2012	2012	-17.215	23.505	SEL	NON-BREEDING	12	2012-07-29 12:51:00
5880	30/07/2012 01:01	7	2012	2012	-17.6875	19.445	SEL	NON-BREEDING	12	2012-07-30 01:01:00
5881	30/07/2012 13:05	7	2012	2012	-18.155	18.09	SEL	NON-BREEDING	12	2012-07-30 13:05:00
5882	31/07/2012 00:53	7	2012	2012	-17.855	21.925	SEL	NON-BREEDING	12	2012-07-31 00:53:00
5883	31/07/2012 12:49	7	2012	2012	-16.865	23.815	SEL	NON-BREEDING	12	2012-07-31 12:49:00
5884	01/08/2012 00:54	8	2012	2012	-17.995	21.315	SEL	NON-BREEDING	12	2012-08-01 00:54:00
5885	01/08/2012 12:55	8	2012	2012	-18.125	20.545	SEL	NON-BREEDING	12	2012-08-01 12:55:00
5886	02/08/2012 00:57	8	2012	2012	-16.8575	20.555	SEL	NON-BREEDING	12	2012-08-02 00:57:00
5887	02/08/2012 13:07	8	2012	2012	-18.825	22.98	SEL	NON-BREEDING	12	2012-08-02 13:07:00
5888	03/08/2012 01:20	8	2012	2012	-18.57	20.94	SEL	NON-BREEDING	12	2012-08-03 01:20:00
5889	03/08/2012 13:19	8	2012	2012	-18.08	16.44	SEL	NON-BREEDING	12	2012-08-03 13:19:00
5890	04/08/2012 01:03	8	2012	2012	-17.855	22.2	SEL	NON-BREEDING	12	2012-08-04 01:03:00
5891	04/08/2012 13:07	8	2012	2012	-15.23	27.19	SEL	NON-BREEDING	12	2012-08-04 13:07:00
5892	05/08/2012 01:12	8	2012	2012	-16.49	26.8	SEL	NON-BREEDING	12	2012-08-05 01:12:00
5893	05/08/2012 13:11	8	2012	2012	-16.38	25.5	SEL	NON-BREEDING	12	2012-08-05 13:11:00
5894	06/08/2012 01:08	8	2012	2012	-15.65	26.88	SEL	NON-BREEDING	12	2012-08-06 01:08:00
5895	06/08/2012 13:05	8	2012	2012	-14.79	26.78	SEL	NON-BREEDING	12	2012-08-06 13:05:00
5896	07/08/2012 01:13	8	2012	2012	-16.8	23.22	SEL	NON-BREEDING	12	2012-08-07 01:13:00
5897	07/08/2012 13:14	8	2012	2012	-17.07	20.72	SEL	NON-BREEDING	12	2012-08-07 13:14:00
5898	08/08/2012 01:05	8	2012	2012	-15.125	25.29	SEL	NON-BREEDING	12	2012-08-08 01:05:00
5899	08/08/2012 13:01	8	2012	2012	-13.72	26.66	SEL	NON-BREEDING	12	2012-08-08 13:01:00
5900	09/08/2012 01:09	8	2012	2012	-17.265	22.4875	SEL	NON-BREEDING	12	2012-08-09 01:09:00
5901	09/08/2012 13:05	8	2012	2012	-18.525	18.44	SEL	NON-BREEDING	12	2012-08-09 13:05:00
5902	10/08/2012 01:03	8	2012	2012	-17.915	18.22	SEL	NON-BREEDING	12	2012-08-10 01:03:00
5903	10/08/2012 13:10	8	2012	2012	-16.17	21.09	SEL	NON-BREEDING	12	2012-08-10 13:10:00
5904	11/08/2012 01:08	8	2012	2012	-15.57	25.13	SEL	NON-BREEDING	12	2012-08-11 01:08:00
5905	11/08/2012 13:08	8	2012	2012	-15.59	26.01	SEL	NON-BREEDING	12	2012-08-11 13:08:00
5906	12/08/2012 01:08	8	2012	2012	-15.74	25.9	SEL	NON-BREEDING	12	2012-08-12 01:08:00
5907	12/08/2012 13:09	8	2012	2012	-16.01	26.13	SEL	NON-BREEDING	12	2012-08-12 13:09:00
5908	13/08/2012 01:08	8	2012	2012	-15.78	27.7	SEL	NON-BREEDING	12	2012-08-13 01:08:00
5909	13/08/2012 13:04	8	2012	2012	-14.8	26.59	SEL	NON-BREEDING	12	2012-08-13 13:04:00
5910	14/08/2012 01:05	8	2012	2012	-14.95	25.07	SEL	NON-BREEDING	12	2012-08-14 01:05:00
5911	14/08/2012 13:03	8	2012	2012	-15.015	25.04	SEL	NON-BREEDING	12	2012-08-14 13:03:00
5912	15/08/2012 01:06	8	2012	2012	-16.525	23.5175	SEL	NON-BREEDING	12	2012-08-15 01:06:00
5913	15/08/2012 13:08	8	2012	2012	-17.045	23.7575	SEL	NON-BREEDING	12	2012-08-15 13:08:00
5914	16/08/2012 01:09	8	2012	2012	-16.17	24.18	SEL	NON-BREEDING	12	2012-08-16 01:09:00
5915	16/08/2012 13:08	8	2012	2012	-16.08	23.26	SEL	NON-BREEDING	12	2012-08-16 13:08:00
5916	17/08/2012 01:08	8	2012	2012	-16.1	23.5	SEL	NON-BREEDING	12	2012-08-17 01:08:00
